dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,24,False,132,1,226,482,2.41,1667235488.9005172
1,0,0,4,28,True,132,1,198,454,2.27,1667235488.9005792
0,1,0,4,24,False,171,2,21,533,2.665,1667235488.9626775
1,1,0,4,28,True,171,1,249,505,2.525,1667235488.9628637
0,2,0,4,24,False,7,2,71,583,2.915,1667235489.0407102
1,2,0,4,28,True,7,2,19,531,2.655,1667235489.0408823
0,3,0,4,24,False,138,1,230,486,2.43,1667235489.246752
1,3,0,4,28,True,138,1,203,459,2.295,1667235489.247072
0,4,0,4,24,False,239,2,164,676,3.38,1667235489.2916627
1,4,0,4,28,True,239,2,111,623,3.115,1667235489.29188
0,5,0,4,24,False,166,1,58,314,1.57,1667235489.3373103
1,5,0,4,28,True,166,1,32,288,1.44,1667235489.3373103
0,6,0,4,24,False,138,3,69,837,4.185,1667235489.8821354
1,6,0,4,28,True,138,3,15,783,3.915,1667235489.8821354
0,7,0,4,24,False,234,1,232,488,2.44,1667235489.9122941
1,7,0,4,28,True,234,1,205,461,2.305,1667235489.9122941
0,8,0,4,24,False,157,1,247,503,2.515,1667235490.0706198
1,8,0,4,28,True,157,1,221,477,2.385,1667235490.0706198
0,9,0,4,24,False,50,0,190,190,0.95,1667235490.1169806
1,9,0,4,28,True,50,0,166,166,0.83,1667235490.1171856
0,10,0,4,24,False,253,1,171,427,2.135,1667235490.3058722
1,10,0,4,28,True,253,1,144,400,2.0,1667235490.3071296
0,11,0,4,24,False,69,3,34,802,4.01,1667235490.3471267
1,11,0,4,28,True,69,2,235,747,3.735,1667235490.34734
0,12,0,4,24,False,231,1,132,388,1.94,1667235490.3959239
1,12,0,4,28,True,231,1,105,361,1.805,1667235490.3961716
0,13,0,4,24,False,1,1,180,436,2.18,1667235490.4402726
1,13,0,4,28,True,1,1,153,409,2.045,1667235490.4402726
0,14,0,4,24,False,59,1,65,321,1.605,1667235490.5509753
1,14,0,4,28,True,59,1,38,294,1.47,1667235490.5511768
0,15,0,4,24,False,36,2,87,599,2.995,1667235490.596255
1,15,0,4,28,True,36,2,60,572,2.86,1667235490.596255
0,16,0,4,24,False,156,1,205,461,2.305,1667235490.697293
1,16,0,4,28,True,156,1,178,434,2.17,1667235490.6978333
0,17,0,4,24,False,45,1,88,344,1.72,1667235490.7591226
1,17,0,4,28,True,45,1,60,316,1.58,1667235490.7600694
0,18,0,4,24,False,238,2,34,546,2.73,1667235490.8001416
1,18,0,4,28,True,238,2,7,519,2.595,1667235490.8004007
0,19,0,4,24,False,234,2,218,730,3.65,1667235490.846003
1,19,0,4,28,True,234,2,165,677,3.385,1667235490.8461454
0,20,0,4,24,False,234,1,176,432,2.16,1667235491.0662737
1,20,0,4,28,True,233,1,148,404,2.02,1667235491.0662737
0,21,0,4,24,False,72,2,245,757,3.785,1667235491.3560228
1,21,0,4,28,True,72,2,192,704,3.52,1667235491.3562849
0,22,0,4,24,False,86,4,68,1092,5.46,1667235491.5328958
1,22,0,4,28,True,86,4,12,1036,5.18,1667235491.5328958
0,23,0,4,24,False,21,1,93,349,1.745,1667235491.6838882
1,23,0,4,28,True,21,1,67,323,1.615,1667235491.6848447
0,24,0,4,24,False,5,4,97,1121,5.605,1667235491.7613726
1,24,0,4,28,True,5,4,19,1043,5.215,1667235491.762425
0,25,0,4,24,False,135,3,20,788,3.94,1667235491.82495
1,25,0,4,28,True,135,2,223,735,3.675,1667235491.8253083
0,26,0,4,24,False,95,3,158,926,4.63,1667235491.9050462
1,26,0,4,28,True,95,3,104,872,4.36,1667235491.9053485
0,27,0,4,24,False,206,1,123,379,1.895,1667235491.9540584
1,27,0,4,28,True,206,1,96,352,1.76,1667235491.9540584
0,28,0,4,24,False,52,0,221,221,1.105,1667235491.9975255
1,28,0,4,28,True,51,0,194,194,0.97,1667235491.9977303
0,29,0,4,24,False,137,1,245,501,2.505,1667235492.043036
1,29,0,4,28,True,137,1,218,474,2.37,1667235492.043036
0,30,0,4,24,False,76,3,167,935,4.675,1667235492.1710722
