dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,34,False,168,12,186,3258,32.58,1658261569.4775944
1,0,0,4,0,True,168,12,177,3249,32.49,1658261569.478098
0,1,0,4,34,False,37,11,127,2943,29.43,1658261570.2575119
1,1,0,4,0,True,37,11,113,2929,29.29,1658261570.2575119
0,2,0,4,34,False,188,9,201,2505,25.05,1658261570.4436736
1,2,0,4,0,True,188,9,195,2499,24.99,1658261570.4436736
0,3,0,4,34,False,211,9,167,2471,24.71,1658261570.608434
1,3,0,4,0,True,211,9,152,2456,24.56,1658261570.608434
0,4,0,4,34,False,49,15,18,3858,38.58,1658261571.9333873
1,4,0,4,0,True,49,15,7,3847,38.47,1658261571.9333873
0,5,0,4,34,False,209,12,15,3087,30.87,1658261572.1974385
1,5,0,4,0,True,209,12,1,3073,30.73,1658261572.1974385
0,6,0,4,34,False,51,9,11,2315,23.15,1658261576.1201453
1,6,0,4,0,True,51,9,9,2313,23.13,1658261576.1206028
0,7,0,4,34,False,22,15,202,4042,40.42,1658261577.2401993
1,7,0,4,0,True,21,15,189,4029,40.29,1658261577.2405148
0,8,0,4,34,False,5,1,139,395,3.95,1658261583.1577144
1,8,0,4,0,True,4,1,135,391,3.91,1658261583.1585085
0,9,0,4,34,False,81,9,227,2531,25.31,1658261583.917692
1,9,0,4,0,True,81,9,218,2522,25.22,1658261583.917692
0,10,0,4,34,False,47,13,92,3420,34.2,1658261586.8215973
1,10,0,4,0,True,47,13,86,3414,34.14,1658261586.8215973
0,11,0,4,34,False,113,4,137,1161,11.61,1658261587.5777478
1,11,0,4,0,True,113,4,129,1153,11.53,1658261587.5777478
0,12,0,4,34,False,57,5,183,1463,14.63,1658261587.7360888
1,12,0,4,0,True,57,5,177,1457,14.57,1658261587.7363188
0,13,0,4,34,False,220,3,139,907,9.07,1658261591.02374
1,13,0,4,0,True,220,3,134,902,9.02,1658261591.0247424
0,14,0,4,34,False,239,11,211,3027,30.27,1658261591.26575
1,14,0,4,0,True,239,11,202,3018,30.18,1658261591.26575
0,15,0,4,34,False,148,12,134,3206,32.06,1658261593.1690378
1,15,0,4,0,True,148,12,129,3201,32.01,1658261593.1690378
0,16,0,4,34,False,129,11,112,2928,29.28,1658261593.595377
1,16,0,4,0,True,129,11,104,2920,29.2,1658261593.595377
0,17,0,4,34,False,88,13,180,3508,35.08,1658261593.8101735
1,17,0,4,0,True,88,13,174,3502,35.02,1658261593.8111768
0,18,0,4,34,False,175,12,158,3230,32.3,1658261595.428129
1,18,0,4,0,True,174,12,152,3224,32.24,1658261595.428129
0,19,0,4,34,False,27,13,250,3578,35.78,1658261597.2737625
1,19,0,4,0,True,27,13,241,3569,35.69,1658261597.2737625
0,20,0,4,34,False,6,6,232,1768,17.68,1658261599.4966404
1,20,0,4,0,True,6,6,221,1757,17.57,1658261599.4968443
0,21,0,4,34,False,96,12,199,3271,32.71,1658261600.8964727
1,21,0,4,0,True,96,12,192,3264,32.64,1658261600.8966935
0,22,0,4,34,False,144,6,166,1702,17.02,1658261601.9255483
1,22,0,4,0,True,144,6,154,1690,16.9,1658261601.9255483
0,23,0,4,34,False,89,6,231,1767,17.67,1658261602.3200138
1,23,0,4,0,True,89,6,226,1762,17.62,1658261602.3210223
0,24,0,4,34,False,11,14,97,3681,36.81,1658261604.39358
1,24,0,4,0,True,10,14,92,3676,36.76,1658261604.393703
0,25,0,4,34,False,32,15,45,3885,38.85,1658261606.1474855
1,25,0,4,0,True,32,15,40,3880,38.8,1658261606.148477
0,26,0,4,34,False,99,13,217,3545,35.45,1658261606.5066793
1,26,0,4,0,True,98,13,208,3536,35.36,1658261606.5066793
0,27,0,4,34,False,146,12,247,3319,33.19,1658261607.519154
1,27,0,4,0,True,146,12,238,3310,33.1,1658261607.5193398
0,28,0,4,34,False,20,14,1,3585,35.85,1658261607.7168906
1,28,0,4,0,True,20,13,253,3581,35.81,1658261607.7171395
0,29,0,4,34,False,19,13,202,3530,35.3,1658261608.0610812
1,29,0,4,0,True,19,13,195,3523,35.23,1658261608.0610812
0,30,0,4,34,False,90,14,134,3718,37.18,1658261609.291425
1,30,0,4,0,True,90,14,127,3711,37.11,1658261609.2924254
0,31,0,4,34,False,184,1,39,295,2.95,1658261609.8373823
1,31,0,4,0,True,184,1,32,288,2.88,1658261609.8373823
0,32,0,4,34,False,149,13,232,3560,35.6,1658261610.6076713
1,32,0,4,0,True,149,13,227,3555,35.55,1658261610.6078916
0,33,0,4,34,False,94,0,150,150,1.5,1658261610.8904276
1,33,0,4,0,True,94,0,143,143,1.43,1658261610.8904276
0,34,0,4,34,False,62,14,251,3835,38.35,1658261613.5098379
1,34,0,4,0,True,62,14,240,3824,38.24,1658261613.5098379
0,35,0,4,34,False,64,6,117,1653,16.53,1658261613.668915
1,35,0,4,0,True,64,6,111,1647,16.47,1658261613.6699119
0,36,0,4,34,False,241,14,24,3608,36.08,1658261614.903555
1,36,0,4,0,True,241,14,19,3603,36.03,1658261614.903555
0,37,0,4,34,False,74,12,219,3291,32.91,1658261615.0606315
1,37,0,4,0,True,74,12,214,3286,32.86,1658261615.0606315
0,38,0,4,34,False,219,9,71,2375,23.75,1658261615.2779777
1,38,0,4,0,True,219,9,63,2367,23.67,1658261615.2779777
0,39,0,4,34,False,202,11,185,3001,30.01,1658261615.9329412
1,39,0,4,0,True,202,11,180,2996,29.96,1658261615.9329412
0,40,0,4,34,False,22,12,132,3204,32.04,1658261616.4289064
1,40,0,4,0,True,22,12,124,3196,31.96,1658261616.4289064
0,41,0,4,34,False,237,13,180,3508,35.08,1658261616.7310455
1,41,0,4,0,True,237,13,165,3493,34.93,1658261616.7313755
0,42,0,4,34,False,23,12,218,3290,32.9,1658261616.879253
1,42,0,4,0,True,23,12,213,3285,32.85,1658261616.879253
0,43,0,4,34,False,174,11,38,2854,28.54,1658261617.468274
1,43,0,4,0,True,174,11,28,2844,28.44,1658261617.468478
0,44,0,4,34,False,23,13,212,3540,35.4,1658261620.5809548
1,44,0,4,0,True,23,13,209,3537,35.37,1658261620.5809548
0,45,0,4,34,False,188,11,226,3042,30.42,1658261620.9713497
1,45,0,4,0,True,188,11,212,3028,30.28,1658261620.9713497
0,46,0,4,34,False,181,13,252,3580,35.8,1658261623.9435337
1,46,0,4,0,True,181,13,245,3573,35.73,1658261623.9435337
0,47,0,4,34,False,202,14,29,3613,36.13,1658261624.718904
1,47,0,4,0,True,202,14,20,3604,36.04,1658261624.718904
0,48,0,4,34,False,175,8,143,2191,21.91,1658261625.742184
1,48,0,4,0,True,175,8,134,2182,21.82,1658261625.742184
0,49,0,4,34,False,107,14,130,3714,37.14,1658261626.0721052
1,49,0,4,0,True,107,14,121,3705,37.05,1658261626.0721052
0,50,0,4,34,False,157,12,66,3138,31.38,1658261627.776096
1,50,0,4,0,True,157,12,61,3133,31.33,1658261627.7766368
0,51,0,4,34,False,95,9,47,2351,23.51,1658261629.9693255
1,51,0,4,0,True,95,9,44,2348,23.48,1658261629.9693255
0,52,0,4,34,False,25,3,150,918,9.18,1658261630.2156
1,52,0,4,0,True,25,3,147,915,9.15,1658261630.2156
0,53,0,4,34,False,96,13,147,3475,34.75,1658261630.370563
1,53,0,4,0,True,96,13,139,3467,34.67,1658261630.370563
0,54,0,4,34,False,22,8,226,2274,22.74,1658261633.2650836
1,54,0,4,0,True,22,8,223,2271,22.71,1658261633.265303
0,55,0,4,34,False,110,13,66,3394,33.94,1658261637.3845272
1,55,0,4,0,True,110,13,62,3390,33.9,1658261637.3845272
0,56,0,4,34,False,136,9,65,2369,23.69,1658261639.932038
1,56,0,4,0,True,136,9,61,2365,23.65,1658261639.932038
0,57,0,4,34,False,130,12,9,3081,30.81,1658261640.4904563
1,57,0,4,0,True,129,12,3,3075,30.75,1658261640.4904563
0,58,0,4,34,False,106,11,103,2919,29.19,1658261643.2366045
1,58,0,4,0,True,106,11,89,2905,29.05,1658261643.2367916
0,59,0,4,34,False,28,1,128,384,3.84,1658261643.4416943
1,59,0,4,0,True,28,1,121,377,3.77,1658261643.4416943
0,60,0,4,34,False,125,6,78,1614,16.14,1658261643.756342
1,60,0,4,0,True,125,6,74,1610,16.1,1658261643.7572963
0,61,0,4,34,False,240,7,244,2036,20.36,1658261643.903025
1,61,0,4,0,True,240,7,237,2029,20.29,1658261643.9030936
0,62,0,4,34,False,142,9,232,2536,25.36,1658261647.1032073
1,62,0,4,0,True,142,9,227,2531,25.31,1658261647.1034298
0,63,0,4,34,False,228,15,137,3977,39.77,1658261649.528303
1,63,0,4,0,True,228,15,126,3966,39.66,1658261649.528303
0,64,0,4,34,False,85,6,178,1714,17.14,1658261650.830283
1,64,0,4,0,True,85,6,173,1709,17.09,1658261650.8312802
0,65,0,4,34,False,156,6,212,1748,17.48,1658261652.9229772
1,65,0,4,0,True,156,6,203,1739,17.39,1658261652.924028
0,66,0,4,34,False,248,11,216,3032,30.32,1658261653.5702894
1,66,0,4,0,True,247,11,212,3028,30.28,1658261653.5705884
0,67,0,4,34,False,113,10,158,2718,27.18,1658261653.7300706
1,67,0,4,0,True,113,10,145,2705,27.05,1658261653.7303352
0,68,0,4,34,False,227,14,126,3710,37.1,1658261653.8860114
1,68,0,4,0,True,227,14,121,3705,37.05,1658261653.886215
0,69,0,4,34,False,253,15,55,3895,38.95,1658261654.4741883
1,69,0,4,0,True,253,15,49,3889,38.89,1658261654.4741883
0,70,0,4,34,False,137,11,234,3050,30.5,1658261654.961126
1,70,0,4,0,True,137,11,220,3036,30.36,1658261654.961126
0,71,0,4,34,False,181,3,153,921,9.21,1658261655.703622
1,71,0,4,0,True,181,3,150,918,9.18,1658261655.703622
0,72,0,4,34,False,164,13,13,3341,33.41,1658261657.8768878
1,72,0,4,0,True,164,13,5,3333,33.33,1658261657.8770807
0,73,0,4,34,False,120,14,193,3777,37.77,1658261658.451889
1,73,0,4,0,True,120,14,183,3767,37.67,1658261658.451889
0,74,0,4,34,False,169,11,73,2889,28.89,1658261660.1030009
1,74,0,4,0,True,169,11,67,2883,28.83,1658261660.1030009
0,75,0,4,34,False,198,7,250,2042,20.42,1658261661.2968366
1,75,0,4,0,True,198,7,244,2036,20.36,1658261661.2968366
0,76,0,4,34,False,194,14,208,3792,37.92,1658261661.8718126
1,76,0,4,0,True,194,14,198,3782,37.82,1658261661.8729627
0,77,0,4,34,False,22,13,203,3531,35.31,1658261662.2349498
1,77,0,4,0,True,22,13,196,3524,35.24,1658261662.2349498
0,78,0,4,34,False,186,14,53,3637,36.37,1658261662.686898
1,78,0,4,0,True,186,14,48,3632,36.32,1658261662.686898
0,79,0,4,34,False,15,12,212,3284,32.84,1658261665.005895
1,79,0,4,0,True,15,12,203,3275,32.75,1658261665.005895
0,80,0,4,34,False,55,14,105,3689,36.89,1658261666.042781
1,80,0,4,0,True,55,14,97,3681,36.81,1658261666.042781
0,81,0,4,34,False,5,12,213,3285,32.85,1658261666.7877088
1,81,0,4,0,True,5,12,207,3279,32.79,1658261666.7888386
0,82,0,4,34,False,48,14,112,3696,36.96,1658261667.1137152
1,82,0,4,0,True,48,14,100,3684,36.84,1658261667.1137152
0,83,0,4,34,False,199,4,48,1072,10.72,1658261667.2856
1,83,0,4,0,True,199,4,41,1065,10.65,1658261667.2866013
0,84,0,4,34,False,42,14,37,3621,36.21,1658261669.1820815
1,84,0,4,0,True,42,14,28,3612,36.12,1658261669.1820815
0,85,0,4,34,False,148,11,211,3027,30.27,1658261670.4528482
1,85,0,4,0,True,148,11,205,3021,30.21,1658261670.4528482
0,86,0,4,34,False,205,14,122,3706,37.06,1658261671.1590645
1,86,0,4,0,True,205,14,117,3701,37.01,1658261671.1592896
0,87,0,4,34,False,9,7,91,1883,18.83,1658261671.3125942
1,87,0,4,0,True,9,7,87,1879,18.79,1658261671.3125942
0,88,0,4,34,False,130,0,72,72,0.72,1658261671.9816887
1,88,0,4,0,True,130,0,65,65,0.65,1658261671.9826965
0,89,0,4,34,False,41,0,133,133,1.33,1658261674.7655897
1,89,0,4,0,True,41,0,115,115,1.15,1658261674.7655897
0,90,0,4,34,False,87,12,94,3166,31.66,1658261675.87452
1,90,0,4,0,True,87,12,91,3163,31.63,1658261675.8753943
0,91,0,4,34,False,164,8,241,2289,22.89,1658261677.3360677
1,91,0,4,0,True,164,8,237,2285,22.85,1658261677.336133
0,92,0,4,34,False,128,13,91,3419,34.19,1658261678.2059653
1,92,0,4,0,True,128,13,87,3415,34.15,1658261678.206169
0,93,0,4,34,False,11,10,146,2706,27.06,1658261678.416435
1,93,0,4,0,True,11,10,141,2701,27.01,1658261678.416435
0,94,0,4,34,False,176,6,68,1604,16.04,1658261681.9176
1,94,0,4,0,True,176,6,64,1600,16.0,1658261681.9176
0,95,0,4,34,False,40,5,175,1455,14.55,1658261683.2425816
1,95,0,4,0,True,39,5,171,1451,14.51,1658261683.242817
0,96,0,4,34,False,171,7,175,1967,19.67,1658261683.4015944
1,96,0,4,0,True,171,7,168,1960,19.6,1658261683.4015944
0,97,0,4,34,False,166,12,26,3098,30.98,1658261683.8114047
1,97,0,4,0,True,166,12,21,3093,30.93,1658261683.8126347
0,98,0,4,34,False,128,11,81,2897,28.97,1658261684.0088675
1,98,0,4,0,True,128,11,71,2887,28.87,1658261684.0090935
0,99,0,4,34,False,13,13,107,3435,34.35,1658261684.8759885
1,99,0,4,0,True,13,13,101,3429,34.29,1658261684.8764956
0,100,0,4,34,False,188,14,117,3701,37.01,1658261689.2877865
1,100,0,4,0,True,187,14,107,3691,36.91,1658261689.2877865
0,101,0,4,34,False,105,15,155,3995,39.95,1658261689.5701885
1,101,0,4,0,True,105,15,127,3967,39.67,1658261689.5701885
0,102,0,4,34,False,45,9,149,2453,24.53,1658261689.7541823
1,102,0,4,0,True,45,9,134,2438,24.38,1658261689.7551746
0,103,0,4,34,False,195,15,36,3876,38.76,1658261690.0700984
1,103,0,4,0,True,195,15,27,3867,38.67,1658261690.0710847
0,104,0,4,34,False,140,2,19,531,5.31,1658261693.0150814
1,104,0,4,0,True,140,2,1,513,5.13,1658261693.0153296
0,105,0,4,34,False,90,14,58,3642,36.42,1658261693.40367
1,105,0,4,0,True,90,14,52,3636,36.36,1658261693.403922
0,106,0,4,34,False,90,10,248,2808,28.08,1658261693.562668
1,106,0,4,0,True,90,10,238,2798,27.98,1658261693.5632792
0,107,0,4,34,False,225,11,215,3031,30.31,1658261695.108319
1,107,0,4,0,True,225,11,210,3026,30.26,1658261695.1085482
0,108,0,4,34,False,141,13,167,3495,34.95,1658261695.644923
1,108,0,4,0,True,141,13,163,3491,34.91,1658261695.644923
0,109,0,4,34,False,56,1,137,393,3.93,1658261695.8769846
1,109,0,4,0,True,56,1,135,391,3.91,1658261695.8779848
0,110,0,4,34,False,34,12,122,3194,31.94,1658261696.027167
1,110,0,4,0,True,34,12,108,3180,31.8,1658261696.027167
0,111,0,4,34,False,234,0,17,17,0.17,1658261696.2933059
1,111,0,4,0,True,233,0,12,12,0.12,1658261696.2933059
0,112,0,4,34,False,154,13,184,3512,35.12,1658261696.723776
1,112,0,4,0,True,154,13,180,3508,35.08,1658261696.7239954
0,113,0,4,34,False,138,13,72,3400,34.0,1658261697.1073892
1,113,0,4,0,True,138,13,68,3396,33.96,1658261697.1073892
0,114,0,4,34,False,244,10,251,2811,28.11,1658261697.3433425
1,114,0,4,0,True,244,10,245,2805,28.05,1658261697.343541
0,115,0,4,34,False,143,13,93,3421,34.21,1658261699.214753
1,115,0,4,0,True,143,13,79,3407,34.07,1658261699.214753
0,116,0,4,34,False,214,11,123,2939,29.39,1658261699.3779957
1,116,0,4,0,True,214,11,119,2935,29.35,1658261699.378999
0,117,0,4,34,False,228,7,24,1816,18.16,1658261700.1808133
1,117,0,4,0,True,228,7,15,1807,18.07,1658261700.1817853
0,118,0,4,34,False,158,10,204,2764,27.64,1658261702.8571563
1,118,0,4,0,True,158,10,199,2759,27.59,1658261702.8574562
0,119,0,4,34,False,141,12,183,3255,32.55,1658261704.4470267
1,119,0,4,0,True,141,12,175,3247,32.47,1658261704.4470267
0,120,0,4,34,False,86,11,223,3039,30.39,1658261706.5182767
1,120,0,4,0,True,86,11,211,3027,30.27,1658261706.5190902
0,121,0,4,34,False,112,6,141,1677,16.77,1658261709.6284213
1,121,0,4,0,True,112,6,136,1672,16.72,1658261709.628559
0,122,0,4,34,False,72,1,119,375,3.75,1658261709.936376
1,122,0,4,0,True,72,1,112,368,3.68,1658261709.936376
0,123,0,4,34,False,103,6,137,1673,16.73,1658261712.097014
1,123,0,4,0,True,103,6,131,1667,16.67,1658261712.097014
0,124,0,4,34,False,42,2,228,740,7.4,1658261713.6529603
1,124,0,4,0,True,42,2,205,717,7.17,1658261713.653168
0,125,0,4,34,False,141,15,155,3995,39.95,1658261715.0898685
1,125,0,4,0,True,141,15,152,3992,39.92,1658261715.0901651
0,126,0,4,34,False,73,1,130,386,3.86,1658261715.4908845
1,126,0,4,0,True,73,1,117,373,3.73,1658261715.4908845
0,127,0,4,34,False,82,2,54,566,5.66,1658261717.0622256
1,127,0,4,0,True,82,2,52,564,5.64,1658261717.0622256
0,128,0,4,34,False,75,0,61,61,0.61,1658261717.318951
1,128,0,4,0,True,75,0,57,57,0.57,1658261717.318951
0,129,0,4,34,False,214,10,26,2586,25.86,1658261717.862363
1,129,0,4,0,True,214,10,20,2580,25.8,1658261717.862363
0,130,0,4,34,False,97,14,50,3634,36.34,1658261718.75032
1,130,0,4,0,True,97,14,44,3628,36.28,1658261718.7505538
0,131,0,4,34,False,90,13,236,3564,35.64,1658261721.4405642
1,131,0,4,0,True,90,13,217,3545,35.45,1658261721.440864
0,132,0,4,34,False,186,8,36,2084,20.84,1658261721.5990772
1,132,0,4,0,True,186,8,22,2070,20.7,1658261721.5994234
0,133,0,4,34,False,13,1,191,447,4.47,1658261726.4157934
1,133,0,4,0,True,13,1,185,441,4.41,1658261726.4160347
0,134,0,4,34,False,243,14,120,3704,37.04,1658261726.5740142
1,134,0,4,0,True,243,14,113,3697,36.97,1658261726.5750113
0,135,0,4,34,False,117,8,31,2079,20.79,1658261728.699323
1,135,0,4,0,True,117,8,26,2074,20.74,1658261728.699323
0,136,0,4,34,False,184,11,56,2872,28.72,1658261729.896972
1,136,0,4,0,True,184,11,45,2861,28.61,1658261729.896972
0,137,0,4,34,False,134,7,247,2039,20.39,1658261731.758803
1,137,0,4,0,True,134,7,237,2029,20.29,1658261731.7590172
0,138,0,4,34,False,248,2,46,558,5.58,1658261732.2136405
1,138,0,4,0,True,248,2,36,548,5.48,1658261732.213846
0,139,0,4,34,False,106,9,41,2345,23.45,1658261735.983626
1,139,0,4,0,True,106,9,34,2338,23.38,1658261735.983626
0,140,0,4,34,False,159,5,104,1384,13.84,1658261736.650581
